Sample-Codename	FqPath	f5Path	ComparisonPair	ComparisonOrder
mouse_aza	/storage/common/rebasecall/p49_Rev-Aza_guppy6.4/	/data/p48-51_20210210_Adar-Abeta-Aza_R1_SQK_RNA002_HT22/P49_Rev-Aza/20210210_2130_1-E1-H1_PAE86504_0221a67e/	mouse-aza-rev	A
mouse_rev	/storage/common/rebasecall/p51_Rev-DMSO_guppy6.4/	/data/p48-51_20210210_Adar-Abeta-Aza_R1_SQK_RNA002_HT22/P51_Rev-DMSO/20210210_2130_2-A3-D3_PAE87936_546f1bab/	mouse-aza-rev	B
